god1,god2,nodes,plies_played,min_depth_reached,mean_depth_reached,final_eval,mean_eval,max_abs_eval,is_decisive,ended_early,evals,seconds
ApolloV2,Aphrodite,200000,8,3,7.125,-111,2.375,136,false,false,136;94;44;24;-71;-15;-82;-111,2.7150714
ApolloV2,Harpies,200000,8,4,8.25,-1060,-1100.75,1165,false,false,-1143;-1109;-1125;-1121;-1165;-1036;-1047;-1060,2.8795292
ApolloV2,Graeae,200000,8,3,5.5,873,741.875,873,false,false,702;614;672;708;786;762;818;873,9.217357
ApolloV2,Persephone,200000,8,3,8.75,762,684.375,821,false,false,569;511;515;788;782;727;821;762,2.7652526
ApolloV2,Hades,200000,8,3,7.25,1590,1620.625,1681,false,false,1545;1636;1655;1601;1681;1678;1579;1590,2.8473651
ApolloV2,Aeolus,200000,8,3,5.75,-553,-497.625,575,false,false,-467;-455;-417;-529;-575;-483;-502;-553,3.8343651
ApolloV2,Hestia,200000,8,3,7.5,-742,-449.25,742,false,false,-337;-405;-413;-424;-392;-384;-497;-742,3.3402772
ApolloV2,Europa,200000,8,3,5.75,195,2.25,340,false,false,164;114;133;52;-340;-67;-233;195,3.1523018
ApolloV2,Maenads,200000,8,3,7.0,42,-74.625,127,false,false,-99;-101;-78;-67;-127;-53;-114;42,2.068155
ApolloV2,Bia,200000,8,4,7.625,-466,-229.875,545,false,false,59;52;-227;-124;-395;-193;-545;-466,2.7416763
ApolloV2,Clio,200000,8,4,8.125,-100,-92.75,182,false,false,32;-27;-115;-82;-182;-181;-87;-100,3.265513
ApolloV2,Morpheus,200000,8,4,6.75,-1112,-1016.25,1112,false,false,-919;-929;-967;-1029;-1041;-1021;-1112;-1112,10.059154
